set,size,accuracy,f1_score
test,2.0,0.8948207171314742,0.31944773912814284
test,3.0,0.783461210571185,0.24003998213995778
test,4.0,0.803680981595092,0.16756982994096395
test,5.0,0.6617647058823529,0.16071428571428575
test,6.0,0.96,0.4897959183673469
test,7.0,1.0,1.0
train,2.0,0.8167189952904239,0.31191296089846815
train,3.0,0.773746432939258,0.24508678055507835
train,4.0,0.6653771760154739,0.2676262143653448
train,5.0,0.7191413237924866,0.35730229445681966
train,6.0,0.5462184873949579,0.27093818984547463
train,7.0,0.5772357723577236,0.25170454545454546
train,8.0,0.5111111111111111,0.25330687830687826
train,9.0,0.5,0.23406593406593407
train,10.0,0.5333333333333333,0.26900584795321636
train,11.0,0.5,0.2222222222222222
train,12.0,0.25,0.13333333333333333
train,13.0,0.5,0.3333333333333333
train,14.0,0.0,0.0
