epoch,train_loss,test_loss,best_test_loss,train_accuracy,train_macro avg_precision,train_macro avg_recall,train_macro avg_f1-score,train_weighted avg_precision,train_weighted avg_recall,train_weighted avg_f1-score,test_accuracy,test_macro avg_precision,test_macro avg_recall,test_macro avg_f1-score,test_weighted avg_precision,test_weighted avg_recall,test_weighted avg_f1-score
0,2.2456749,1.71627693,True,30.51,7.53,7.95,6.09,20.83,30.51,23.11,41.82,5.97,14.29,8.43,17.49,41.82,24.67
1,1.34899883,1.07321258,True,42.42,11.94,14.41,12.51,34.57,42.42,36.55,47.58,6.8,14.29,9.21,22.64,47.58,30.68
2,1.22012284,1.07602095,False,41.47,11.77,14.25,12.86,34.1,41.47,37.34,47.58,6.8,14.29,9.21,22.64,47.58,30.68
3,1.20509306,1.07509243,False,42.06,11.97,14.47,13.07,34.65,42.06,37.91,47.58,6.8,14.29,9.21,22.64,47.58,30.68
4,1.20082463,1.07577165,False,41.33,11.71,14.18,12.77,33.93,41.33,37.1,47.58,6.8,14.29,9.21,22.64,47.58,30.68
5,1.19863422,1.0745873,False,41.62,11.81,14.29,12.88,34.22,41.62,37.39,47.58,6.8,14.29,9.21,22.64,47.58,30.68
6,1.18855576,1.03976101,True,43.15,12.27,14.84,13.41,35.54,43.15,38.9,82.6,23.77,26.41,25.0,74.07,82.6,78.05
7,1.06721422,0.74532008,True,63.93,18.27,22.12,20.0,52.92,63.93,57.87,82.6,23.7,26.44,24.99,73.93,82.6,78.01
8,0.88808781,0.69662001,True,71.12,20.47,24.67,22.26,59.37,71.12,64.38,82.6,23.7,26.44,24.99,73.93,82.6,78.01
9,0.84476882,0.69424059,True,71.39,20.52,24.75,22.34,59.49,71.39,64.62,82.53,23.68,26.42,24.97,73.86,82.53,77.94
10,0.83375683,0.68791535,True,71.37,20.52,24.75,22.34,59.51,71.37,64.62,82.53,23.68,26.42,24.97,73.86,82.53,77.94
11,0.82030096,0.68533133,True,71.46,20.55,24.78,22.37,59.59,71.46,64.71,82.49,23.67,26.41,24.96,73.82,82.49,77.91
12,0.8152698,0.6794869,True,71.46,20.55,24.78,22.36,59.6,71.46,64.69,82.49,23.67,26.41,24.96,73.83,82.49,77.91
