set,size,prediction,label,concurrent_nodes
train,3.0,3.0,3.0,42.0
train,3.0,3.0,5.0,26.0
train,2.0,2.0,2.0,26.0
train,2.0,2.0,3.0,36.0
train,4.0,3.0,3.0,34.0
train,2.0,2.0,2.0,30.0
train,3.0,3.0,3.0,33.0
train,3.0,3.0,3.0,21.0
train,10.0,3.0,5.0,27.0
train,5.0,3.0,2.0,44.0
train,2.0,2.0,2.0,14.0
train,4.0,2.0,2.0,32.0
train,3.0,2.0,2.0,49.0
train,4.0,3.0,3.0,28.0
train,3.0,3.0,3.0,25.0
train,2.0,2.0,2.0,27.0
train,4.0,3.0,2.0,54.0
train,4.0,3.0,3.0,63.0
train,2.0,2.0,2.0,31.0
train,2.0,2.0,2.0,43.0
train,3.0,3.0,3.0,28.0
train,3.0,3.0,3.0,32.0
train,4.0,3.0,3.0,30.0
train,3.0,3.0,5.0,47.0
train,3.0,3.0,3.0,31.0
train,5.0,3.0,3.0,31.0
train,2.0,2.0,1.0,74.0
train,3.0,3.0,3.0,33.0
train,4.0,3.0,3.0,45.0
train,4.0,3.0,2.0,28.0
train,3.0,3.0,3.0,22.0
train,2.0,2.0,2.0,27.0
train,2.0,2.0,2.0,56.0
train,2.0,2.0,2.0,43.0
train,2.0,2.0,2.0,35.0
train,3.0,3.0,3.0,48.0
train,2.0,2.0,2.0,22.0
train,3.0,3.0,3.0,27.0
train,2.0,2.0,2.0,43.0
train,5.0,3.0,5.0,35.0
train,4.0,2.0,3.0,20.0
train,2.0,2.0,1.0,61.0
train,2.0,2.0,2.0,30.0
train,2.0,2.0,2.0,54.0
train,5.0,3.0,3.0,50.0
train,6.0,3.0,2.0,40.0
train,2.0,2.0,2.0,32.0
train,3.0,2.0,2.0,51.0
train,2.0,2.0,2.0,40.0
train,4.0,3.0,2.0,37.0
train,2.0,2.0,2.0,28.0
train,3.0,2.0,2.0,49.0
train,3.0,3.0,3.0,23.0
train,3.0,2.0,2.0,47.0
train,2.0,2.0,1.0,25.0
train,3.0,3.0,3.0,17.0
train,2.0,2.0,2.0,30.0
