epoch,train_loss,test_loss,best_test_loss,train_accuracy,train_macro avg_precision,train_macro avg_recall,train_macro avg_f1-score,train_weighted avg_precision,train_weighted avg_recall,train_weighted avg_f1-score,test_accuracy,test_macro avg_precision,test_macro avg_recall,test_macro avg_f1-score,test_weighted avg_precision,test_weighted avg_recall,test_weighted avg_f1-score
0,1.44438392,1.086381,True,38.89,9.17,10.44,9.76,34.16,38.89,36.37,47.58,6.8,14.29,9.21,22.64,47.58,30.68
1,1.19172272,1.08909993,False,42.06,11.87,14.36,12.75,34.39,42.06,37.14,47.58,6.8,14.29,9.21,22.64,47.58,30.68
2,1.1863651,1.09103254,False,41.84,11.79,14.26,12.6,34.15,41.84,36.71,47.58,6.8,14.29,9.21,22.64,47.58,30.68
3,1.1782809,1.09493394,False,42.62,12.04,14.52,12.81,34.87,42.62,37.34,47.58,6.8,14.29,9.21,22.64,47.58,30.68
4,0.9444055,0.66583687,True,64.4,27.92,22.31,20.22,59.98,64.4,58.33,83.65,24.06,26.75,25.32,75.01,83.65,79.05
5,0.82113638,0.67406491,False,70.42,20.3,24.44,22.04,58.91,70.42,63.74,83.65,24.06,26.75,25.32,75.01,83.65,79.05
6,0.81450025,0.66553814,True,70.32,20.24,24.4,22.01,58.72,70.32,63.66,83.65,24.06,26.75,25.32,75.01,83.65,79.05
7,0.80727601,0.66008379,True,70.35,20.21,24.39,22.02,58.61,70.35,63.69,83.65,24.06,26.75,25.32,75.01,83.65,79.05
8,0.80242845,0.65299697,True,70.12,20.12,24.3,21.95,58.33,70.12,63.49,83.65,24.06,26.75,25.32,75.01,83.65,79.05
9,0.79553491,0.65208921,True,70.32,20.16,24.37,22.01,58.43,70.32,63.67,83.65,24.06,26.75,25.32,75.01,83.65,79.05
10,0.79260069,0.65066968,True,70.52,20.2,24.43,22.07,58.55,70.52,63.85,83.65,24.06,26.75,25.32,75.01,83.65,79.05
11,0.79271192,0.65651434,False,70.73,20.26,24.5,22.13,58.73,70.73,64.04,83.47,24.0,26.7,25.27,74.83,83.47,78.87
12,0.78732195,0.65781916,False,70.68,20.25,24.48,22.12,58.69,70.68,63.99,83.47,24.0,26.7,25.27,74.83,83.47,78.87
13,0.78398395,0.66792132,False,70.68,20.24,24.48,22.12,58.67,70.68,63.99,83.37,23.97,26.67,25.23,74.72,83.37,78.77
14,0.77868764,0.66429924,False,70.96,20.32,24.58,22.2,58.87,70.96,64.24,83.4,23.98,26.68,25.25,74.76,83.4,78.81
15,0.77286209,0.65593226,False,71.1,20.36,24.62,22.25,59.01,71.1,64.37,83.4,23.98,26.68,25.25,74.76,83.4,78.81
16,0.77033286,0.66070357,False,70.63,20.23,24.46,22.1,58.63,70.63,63.95,83.51,24.02,26.71,25.28,74.86,83.51,78.91
17,0.76592135,0.65610514,False,71.57,20.5,24.79,22.4,59.41,71.57,64.8,83.61,24.05,26.74,25.31,74.97,83.61,79.01
18,0.76010356,0.64123681,True,70.96,20.32,24.57,22.2,58.87,70.96,64.25,83.65,24.06,26.75,25.32,75.01,83.65,79.05
19,0.75905681,0.64357691,False,71.36,20.44,24.71,22.33,59.24,71.36,64.61,83.65,24.06,26.75,25.32,75.01,83.65,79.05
20,0.75767438,0.63817858,True,71.56,20.49,24.78,22.39,59.4,71.56,64.79,83.65,24.06,26.75,25.32,75.01,83.65,79.05
21,0.75852931,0.64686096,False,71.33,20.44,24.71,22.32,59.24,71.33,64.58,83.54,24.03,26.72,25.29,74.9,83.54,78.94
22,0.75538495,0.63899271,False,71.5,20.48,24.76,22.37,59.36,71.5,64.74,83.65,24.06,26.75,25.32,75.01,83.65,79.05
23,0.75394614,0.64359916,False,71.41,20.45,24.73,22.35,59.27,71.41,64.66,83.54,24.03,26.72,25.29,74.9,83.54,78.94
24,0.7512129,0.63884511,False,71.41,20.44,24.73,22.35,59.24,71.41,64.66,83.47,24.0,26.7,25.27,74.83,83.47,78.87
25,0.74582006,0.63215916,True,71.53,20.46,24.76,22.38,59.28,71.53,64.76,83.61,24.05,26.74,25.31,74.97,83.61,79.01
26,0.75109624,0.64759292,False,71.6,20.5,24.79,22.4,59.41,71.6,64.82,83.44,23.99,26.69,25.26,74.79,83.44,78.84
27,0.74454522,0.64812031,False,71.92,20.59,24.9,22.51,59.66,71.92,65.12,83.51,24.02,26.71,25.28,74.86,83.51,78.91
28,0.74813771,0.64802461,False,71.98,20.59,24.92,22.52,59.66,71.98,65.17,83.54,24.03,26.72,25.29,74.9,83.54,78.94
29,0.74334188,0.63688876,False,72.14,20.63,24.97,22.57,59.79,72.14,65.31,83.54,24.03,26.72,25.29,74.9,83.54,78.94
30,0.74201393,0.64431496,False,71.94,20.58,24.9,22.51,59.64,71.94,65.13,83.47,24.0,26.7,25.27,74.83,83.47,78.87
31,0.7430215,0.6434891,False,72.24,20.66,25.0,22.6,59.87,72.24,65.4,83.47,24.0,26.7,25.27,74.83,83.47,78.87
32,0.73776851,0.64503844,False,72.93,20.87,25.25,22.82,60.47,72.93,66.03,83.51,24.01,26.71,25.28,74.86,83.51,78.91
33,0.74359882,0.64275494,False,73.06,20.9,25.29,22.86,60.56,73.06,66.14,83.4,23.97,26.68,25.24,74.74,83.4,78.8
34,0.73570051,0.66034644,False,73.78,21.1,25.54,23.08,61.14,73.78,66.79,83.4,23.97,26.68,25.24,74.74,83.4,78.8
35,0.736154,0.65085095,False,73.55,21.04,25.46,23.01,60.97,73.55,66.59,83.23,23.91,26.63,25.19,74.56,83.23,78.63
36,0.73364012,0.65641582,False,74.16,21.2,25.66,23.2,61.42,74.16,67.14,83.33,23.94,26.66,25.22,74.65,83.33,78.73
37,0.7334565,0.65061261,False,73.98,21.16,25.61,23.15,61.3,73.98,66.97,83.3,23.94,26.65,25.21,74.63,83.3,78.7
