epoch,train_loss,test_loss,best_test_loss,train_accuracy,train_macro avg_precision,train_macro avg_recall,train_macro avg_f1-score,train_weighted avg_precision,train_weighted avg_recall,train_weighted avg_f1-score,test_accuracy,test_macro avg_precision,test_macro avg_recall,test_macro avg_f1-score,test_weighted avg_precision,test_weighted avg_recall,test_weighted avg_f1-score
0,2.32988306,2.25036831,True,38.19,5.39,14.21,7.28,18.5,38.19,24.92,41.82,5.97,14.29,8.43,17.49,41.82,24.67
1,1.96746187,1.39249331,True,43.07,13.3,14.29,8.62,38.33,43.07,25.98,41.82,5.97,14.29,8.43,17.49,41.82,24.67
2,1.30116098,1.10003005,True,42.45,11.95,14.44,12.68,34.62,42.45,36.98,41.82,5.97,14.29,8.43,17.49,41.82,24.67
3,1.21830418,1.08533791,True,41.82,11.87,14.37,12.96,34.4,41.82,37.62,41.82,5.97,14.29,8.43,17.49,41.82,24.67
4,1.19781089,1.08452853,True,42.76,12.13,14.68,13.22,35.14,42.76,38.4,41.82,5.97,14.29,8.43,17.49,41.82,24.67
5,1.19428487,1.07938851,True,42.22,11.96,14.47,12.99,34.65,42.22,37.77,41.82,5.97,14.29,8.43,17.49,41.82,24.67
6,1.19540329,1.07882756,True,42.9,12.16,14.72,13.26,35.23,42.9,38.51,42.0,20.27,14.34,8.54,65.1,42.0,25.05
7,1.18133847,1.06036756,True,45.15,12.86,15.54,14.05,37.24,45.15,40.73,42.95,15.66,14.61,9.32,49.72,42.95,27.61
8,1.13407592,0.95752821,True,55.43,15.83,19.12,17.3,45.79,55.43,50.1,81.86,23.45,26.22,24.76,73.2,81.86,77.29
9,1.02640167,0.8011043,True,67.3,19.22,23.27,21.05,55.64,67.3,60.91,82.49,23.66,26.41,24.96,73.82,82.49,77.91
10,0.9172655,0.71679056,True,70.85,20.33,24.56,22.17,58.93,70.85,64.13,82.32,23.61,26.36,24.9,73.65,82.32,77.74
11,0.88328932,0.69500643,True,71.57,24.14,24.83,22.44,62.15,71.57,64.83,82.56,23.69,26.43,24.98,73.89,82.56,77.98
12,0.86335058,0.7083142,False,71.6,20.57,24.82,22.41,59.66,71.6,64.83,82.25,23.58,26.34,24.88,73.57,82.25,77.66
13,0.84912057,0.69987568,False,71.49,20.53,24.78,22.38,59.53,71.49,64.73,82.21,23.57,26.33,24.87,73.54,82.21,77.63
14,0.83786287,0.71519016,False,71.5,20.55,24.79,22.38,59.61,71.5,64.75,82.21,23.57,26.33,24.87,73.53,82.21,77.63
15,0.83445924,0.70856366,False,71.51,20.53,24.79,22.38,59.53,71.51,64.75,82.21,23.57,26.33,24.87,73.53,82.21,77.63
16,0.82679204,0.69727783,False,71.77,20.61,24.88,22.46,59.76,71.77,64.98,82.21,23.57,26.33,24.87,73.53,82.21,77.63
17,0.82394114,0.69974253,False,71.47,20.55,24.78,22.37,59.59,71.47,64.72,82.21,23.57,26.33,24.87,73.53,82.21,77.63
18,0.81869861,0.70193298,False,71.34,20.51,24.74,22.33,59.46,71.34,64.6,82.21,23.57,26.33,24.87,73.53,82.21,77.63
19,0.81575648,0.69642267,False,71.63,20.59,24.83,22.42,59.69,71.63,64.86,82.21,23.57,26.33,24.87,73.53,82.21,77.63
20,0.81256831,0.70017151,False,71.57,20.58,24.82,22.4,59.67,71.57,64.8,82.21,23.57,26.33,24.87,73.53,82.21,77.63
21,0.8106078,0.6972713,False,71.68,20.6,24.85,22.44,59.75,71.68,64.9,82.21,23.57,26.33,24.87,73.53,82.21,77.63
22,0.8099284,0.69998242,False,71.51,20.56,24.8,22.38,59.63,71.51,64.74,82.21,23.57,26.33,24.87,73.53,82.21,77.63
23,0.80066558,0.70036572,False,71.47,25.32,24.8,22.41,62.99,71.47,64.74,82.21,23.57,26.33,24.87,73.53,82.21,77.63
24,0.7999475,0.68750192,True,71.5,20.55,24.79,22.38,59.59,71.5,64.73,82.21,23.57,26.33,24.87,73.54,82.21,77.63
25,0.79704446,0.71039087,False,71.44,20.55,24.78,22.36,59.61,71.44,64.69,82.21,23.57,26.33,24.87,73.53,82.21,77.63
26,0.79998988,0.69341537,False,71.37,20.53,24.75,22.34,59.54,71.37,64.62,82.21,23.57,26.33,24.87,73.53,82.21,77.63
27,0.79387366,0.6925023,False,71.22,20.46,24.69,22.29,59.34,71.22,64.48,82.35,23.62,26.37,24.92,73.68,82.35,77.77
28,0.79451045,0.69288087,False,71.47,20.54,24.78,22.37,59.58,71.47,64.71,82.21,23.57,26.33,24.87,73.54,82.21,77.63
