epoch,train_loss,test_loss,best_test_loss,train_accuracy,train_macro avg_precision,train_macro avg_recall,train_macro avg_f1-score,train_weighted avg_precision,train_weighted avg_recall,train_weighted avg_f1-score,test_accuracy,test_macro avg_precision,test_macro avg_recall,test_macro avg_f1-score,test_weighted avg_precision,test_weighted avg_recall,test_weighted avg_f1-score
0,1.58661533,1.10131631,True,34.57,11.74,11.92,11.82,33.99,34.57,34.26,41.82,5.97,14.29,8.43,17.49,41.82,24.67
1,1.18020659,1.04800467,True,44.87,12.77,15.4,13.87,36.95,44.87,40.27,61.58,17.77,19.9,18.52,55.8,61.58,57.76
2,1.13668878,0.95409762,True,50.69,14.51,17.43,15.74,41.95,50.69,45.64,67.02,19.69,21.76,20.06,62.0,67.02,62.49
3,1.06655689,0.83145758,True,57.09,16.36,19.67,17.81,47.27,57.09,51.56,81.37,23.33,26.05,24.61,72.8,81.37,76.84
4,1.03042161,0.80307173,True,59.2,16.91,20.45,18.51,48.91,59.2,53.56,82.32,23.65,26.33,24.91,73.76,82.32,77.77
5,0.99447865,0.78540968,True,61.35,17.54,21.25,19.2,50.78,61.35,55.51,82.88,23.86,26.5,25.09,74.35,82.88,78.32
6,0.9661976,0.75799719,True,63.46,18.27,22.04,19.85,52.97,63.46,57.37,82.88,23.86,26.5,25.09,74.35,82.88,78.32
7,0.94891906,0.75467576,True,64.33,18.66,22.37,20.11,54.17,64.33,58.12,82.88,23.86,26.5,25.09,74.35,82.88,78.32
8,0.93513279,0.74499368,True,64.64,18.86,22.5,20.2,54.78,64.64,58.37,82.88,23.86,26.5,25.09,74.35,82.88,78.32
9,0.92686407,0.75113081,False,65.05,19.07,22.65,20.32,55.4,65.05,58.72,82.88,23.86,26.5,25.09,74.35,82.88,78.32
10,0.92018613,0.74980105,False,65.18,19.17,22.7,20.36,55.7,65.18,58.83,82.88,23.86,26.5,25.09,74.35,82.88,78.32
11,0.9156784,0.74587861,False,65.08,19.19,22.68,20.32,55.78,65.08,58.72,82.88,23.86,26.5,25.09,74.35,82.88,78.32
12,0.91300607,0.74300517,True,65.18,19.21,22.71,20.35,55.85,65.18,58.81,82.88,23.86,26.5,25.09,74.35,82.88,78.32
13,0.91396085,0.75455588,False,65.26,19.24,22.74,20.38,55.93,65.26,58.88,82.88,23.86,26.5,25.09,74.35,82.88,78.32
14,0.9037215,0.71821196,True,65.87,19.3,22.94,20.58,56.05,65.87,59.47,82.91,23.86,26.51,25.1,74.37,82.91,78.35
15,0.89422298,0.72893473,False,66.07,19.34,23.0,20.64,56.19,66.07,59.65,82.91,23.86,26.51,25.1,74.37,82.91,78.35
16,0.89654181,0.72726458,False,66.13,19.36,23.02,20.66,56.24,66.13,59.7,82.91,23.86,26.51,25.1,74.37,82.91,78.35
17,0.8910024,0.73366216,False,66.3,19.45,23.09,20.71,56.51,66.3,59.85,82.91,23.86,26.51,25.1,74.38,82.91,78.35
18,0.89188539,0.7327433,False,66.13,19.41,23.03,20.66,56.39,66.13,59.7,82.91,23.86,26.51,25.1,74.38,82.91,78.35
19,0.8894302,0.74085132,False,66.26,19.43,23.07,20.7,56.46,66.26,59.82,82.88,23.85,26.5,25.09,74.34,82.88,78.32
20,0.88873766,0.76300767,False,66.13,19.38,23.02,20.66,56.29,66.13,59.7,82.77,23.83,26.46,25.06,74.27,82.77,78.23
21,0.88522999,0.73598929,False,66.21,19.39,23.05,20.68,56.34,66.21,59.77,82.91,23.86,26.51,25.1,74.37,82.91,78.35
22,0.88264065,0.76276006,False,66.14,19.39,23.03,20.66,56.35,66.14,59.72,82.32,23.64,26.34,24.91,73.72,82.32,77.76
23,0.88478576,0.74564908,False,66.2,19.4,23.05,20.68,56.37,66.2,59.76,82.88,23.86,26.5,25.09,74.35,82.88,78.32
24,0.88572838,0.78239677,False,66.51,19.49,23.16,20.78,56.63,66.51,60.06,82.04,23.65,26.22,24.84,73.67,82.04,77.54
25,0.88496317,0.77361086,False,66.17,19.39,23.04,20.67,56.34,66.17,59.74,82.11,23.69,26.23,24.86,73.8,82.11,77.62
26,0.88417129,0.76789134,False,66.43,19.48,23.13,20.75,56.59,66.43,59.96,81.96,23.66,26.18,24.82,73.69,81.96,77.49
27,0.88355149,0.73760735,False,66.43,19.46,23.13,20.75,56.54,66.43,59.96,82.91,23.86,26.51,25.1,74.37,82.91,78.35
28,0.88252841,0.74552843,False,66.54,19.51,23.17,20.79,56.69,66.54,60.08,82.88,23.86,26.5,25.09,74.35,82.88,78.32
29,0.88164611,0.74194459,False,66.4,19.47,23.12,20.74,56.57,66.4,59.95,82.91,23.86,26.51,25.1,74.38,82.91,78.35
30,0.88144432,0.75102515,False,66.24,19.39,23.06,20.7,56.34,66.24,59.82,82.74,23.8,26.46,25.04,74.18,82.74,78.18
31,0.879342,0.72481692,False,66.47,19.47,23.14,20.77,56.55,66.47,60.02,82.91,23.86,26.51,25.1,74.37,82.91,78.35
32,0.88299852,0.73794105,False,66.45,19.46,23.14,20.76,56.53,66.45,60.0,82.81,23.83,26.48,25.07,74.27,82.81,78.25
33,0.88180355,0.74614587,False,66.16,19.38,23.03,20.67,56.29,66.16,59.72,82.84,23.85,26.49,25.08,74.32,82.84,78.29
34,0.87448019,0.72812793,False,66.52,19.46,23.16,20.79,56.54,66.52,60.08,82.88,23.85,26.5,25.09,74.34,82.88,78.32
35,0.87853486,0.74913276,False,66.62,19.5,23.19,20.82,56.65,66.62,60.16,82.77,23.82,26.47,25.06,74.24,82.77,78.22
