epoch,train_loss,test_loss,best_test_loss,train_accuracy,train_macro avg_precision,train_macro avg_recall,train_macro avg_f1-score,train_weighted avg_precision,train_weighted avg_recall,train_weighted avg_f1-score,test_accuracy,test_macro avg_precision,test_macro avg_recall,test_macro avg_f1-score,test_weighted avg_precision,test_weighted avg_recall,test_weighted avg_f1-score
0,1.49548541,1.06594156,True,38.24,12.75,14.26,13.2,34.69,38.24,35.71,47.58,6.8,14.29,9.21,22.64,47.58,30.68
1,1.19128983,1.08102378,False,42.43,11.99,14.51,12.95,34.73,42.43,37.7,54.21,17.77,17.94,15.35,56.32,54.21,47.35
2,1.16692212,1.00114094,True,46.36,13.23,15.91,14.33,38.28,46.36,41.6,69.12,19.89,22.03,20.87,62.04,69.12,65.27
3,1.08661497,0.86586509,True,55.2,15.84,18.99,17.19,45.77,55.2,49.79,80.11,22.91,25.68,24.21,71.58,80.11,75.59
4,1.00898756,0.76886286,True,60.57,17.32,20.97,18.95,50.15,60.57,54.81,82.14,23.59,26.28,24.85,73.56,82.14,77.59
5,0.95569652,0.7512723,True,63.89,18.53,22.22,19.97,53.79,63.89,57.72,82.88,23.86,26.5,25.09,74.35,82.88,78.32
6,0.92539917,0.73389069,True,65.46,19.28,22.81,20.44,56.03,65.46,59.07,82.88,23.86,26.5,25.09,74.35,82.88,78.32
7,0.92231426,0.81590927,False,65.21,19.24,22.72,20.36,55.92,65.21,58.82,81.61,23.4,26.13,24.69,73.02,81.61,77.07
8,0.91939089,0.75648518,False,65.04,19.18,22.66,20.31,55.74,65.04,58.67,82.7,23.8,26.44,25.03,74.17,82.7,78.15
9,0.91384023,0.76924244,False,65.28,19.28,22.75,20.38,56.04,65.28,58.89,81.72,23.45,26.16,24.72,73.14,81.72,77.18
10,0.911975,0.74288957,False,65.35,19.28,22.77,20.4,56.04,65.35,58.96,82.49,23.71,26.39,24.97,73.93,82.49,77.94
11,0.91328636,0.76994481,False,65.38,19.26,22.78,20.41,55.97,65.38,58.99,82.67,23.78,26.44,25.02,74.13,82.67,78.12
12,0.90427344,0.77133992,False,65.38,19.3,22.78,20.41,56.1,65.38,58.98,82.74,23.8,26.46,25.04,74.2,82.74,78.18
13,0.89866948,0.71806854,True,65.99,19.36,22.98,20.61,56.25,65.99,59.57,82.91,23.86,26.51,25.1,74.37,82.91,78.35
14,0.89274766,0.72323437,False,66.23,19.38,23.05,20.7,56.29,66.23,59.82,82.81,23.82,26.48,25.07,74.25,82.81,78.25
15,0.8859015,0.71983913,False,66.5,19.47,23.15,20.78,56.55,66.5,60.05,82.91,23.86,26.51,25.1,74.37,82.91,78.35
16,0.8834217,0.72763879,False,66.61,19.43,23.17,20.82,56.43,66.61,60.2,82.81,23.82,26.48,25.07,74.26,82.81,78.25
17,0.88786887,0.73199164,False,66.44,19.39,23.12,20.77,56.31,66.44,60.03,82.42,23.68,26.37,24.94,73.83,82.42,77.87
18,0.88035406,0.71150118,True,66.57,19.42,23.16,20.81,56.39,66.57,60.14,82.91,23.86,26.51,25.1,74.37,82.91,78.35
19,0.88192718,0.71801936,False,66.37,19.34,23.08,20.75,56.15,66.37,59.98,82.88,23.85,26.5,25.09,74.33,82.88,78.32
20,0.87931621,0.71873871,False,66.58,19.42,23.16,20.81,56.4,66.58,60.17,82.63,23.77,26.43,25.01,74.09,82.63,78.08
21,0.87718438,0.72077114,False,66.51,19.39,23.14,20.79,56.3,66.51,60.09,82.77,23.81,26.47,25.05,74.22,82.77,78.22
22,0.88149508,0.70098925,True,66.67,19.41,23.19,20.84,56.38,66.67,60.23,82.91,23.86,26.51,25.1,74.38,82.91,78.35
23,0.88186891,0.71837515,False,66.67,19.4,23.19,20.84,56.33,66.67,60.24,82.88,23.86,26.5,25.09,74.35,82.88,78.32
24,0.88076174,0.73486128,False,66.54,19.37,23.14,20.8,56.25,66.54,60.13,82.04,23.56,26.25,24.82,73.46,82.04,77.49
25,0.87571727,0.74858706,False,66.71,19.4,23.2,20.86,56.32,66.71,60.3,81.61,23.4,26.13,24.69,73.02,81.61,77.07
26,0.87499172,0.74548739,False,66.58,19.35,23.15,20.82,56.18,66.58,60.17,82.49,23.7,26.39,24.97,73.91,82.49,77.94
27,0.87094658,0.73938693,False,67.01,19.47,23.3,20.95,56.52,67.01,60.57,82.63,23.77,26.43,25.01,74.09,82.63,78.08
28,0.87297965,0.71376514,False,66.94,19.4,23.26,20.93,56.29,66.94,60.51,82.95,23.87,26.52,25.11,74.4,82.95,78.39
29,0.86866266,0.73466159,False,66.89,19.39,23.25,20.92,56.29,66.89,60.49,81.96,23.53,26.23,24.8,73.39,81.96,77.42
30,0.86842797,0.6949065,True,66.91,19.38,23.25,20.93,56.24,66.91,60.51,82.91,23.86,26.51,25.1,74.37,82.91,78.35
