epoch,train_loss,test_loss,best_test_loss,train_accuracy,train_macro avg_precision,train_macro avg_recall,train_macro avg_f1-score,train_weighted avg_precision,train_weighted avg_recall,train_weighted avg_f1-score,test_accuracy,test_macro avg_precision,test_macro avg_recall,test_macro avg_f1-score,test_weighted avg_precision,test_weighted avg_recall,test_weighted avg_f1-score
0,1.51846963,1.07538133,True,36.28,11.78,12.64,12.04,34.15,36.28,34.72,41.82,5.97,14.29,8.43,17.49,41.82,24.67
1,1.19532959,1.07574512,False,41.78,11.77,14.28,12.74,34.11,41.78,37.09,41.82,5.97,14.29,8.43,17.49,41.82,24.67
2,1.17024559,0.95475833,True,46.7,13.31,15.99,14.35,38.5,46.7,41.69,72.67,20.95,23.46,21.87,65.79,72.67,68.25
3,0.94809848,0.70794714,True,67.19,19.2,23.25,21.02,55.58,67.19,60.81,82.56,23.69,26.43,24.98,73.89,82.56,77.98
4,0.84708399,0.69613587,True,70.8,20.41,24.57,22.16,59.23,70.8,64.1,83.12,23.88,26.6,25.16,74.45,83.12,78.53
5,0.8375887,0.69306639,True,71.49,20.66,24.82,22.37,59.96,71.49,64.71,83.44,23.98,26.69,25.25,74.77,83.44,78.83
6,0.82726044,0.70293683,False,71.61,20.71,24.86,22.41,60.11,71.61,64.82,83.47,23.99,26.7,25.27,74.81,83.47,78.87
7,0.82498345,0.69330508,False,71.61,20.71,24.86,22.41,60.12,71.61,64.82,83.47,23.99,26.7,25.27,74.81,83.47,78.87
8,0.82054404,0.69422133,False,71.7,20.74,24.89,22.44,60.19,71.7,64.9,83.51,24.01,26.71,25.28,74.84,83.51,78.9
9,0.81449908,0.69463615,False,71.51,20.67,24.83,22.38,59.99,71.51,64.73,83.4,23.97,26.68,25.24,74.74,83.4,78.8
10,0.79831617,0.69418827,False,71.6,20.65,24.85,22.41,59.91,71.6,64.82,82.88,23.79,26.52,25.08,74.21,82.88,78.29
11,0.77627144,0.67774386,True,71.66,20.59,24.85,22.43,59.72,71.66,64.87,83.09,23.86,26.59,25.14,74.41,83.09,78.49
